placa;km;km_troca_oleo;renavam;chassi;ano_fabricacao;ano_modelo;IdCliente;modelo;montadora
KPH3J64;;;;9BD197132D3071486;2013;;45049;SIENA;fiat
DBO6355;;;;9BFBSZGDAYB694092;2000;;45048;KA;ford
DKB3304;;;;93YJA00254J445349;2003;;45047;SCENIC;renault
DWA5398;;;;9BGRX08908G261672;2008;;45046;CELTA;chevrolet
DMN3F11;;;;9BWCC05W97T115471;2007;;45045;GOL;volkswagen
ARG3373;;;;9BD27803M97155345;2009;;45044;STRADA;fiat
EKW7G10;;;;9BGSU19F0CC215092;2012;;45043;CLASSIC;chevrolet
DSO9J95;;;;9BWCB05WX7T106877;2007;;45042;GOL;volkswagen
FQD9A49;;;;9BGJR75Z0EB294135;2014;;45041;SPIN;chevrolet
EVK0J22;;;;9BRBL42E9C4708334;2011;;45040;COROLLA;toyota
EKT8B37;;;;93HFA6630AZ220112;2009;;45039;CIVIC;honda
DRT5723;;;;9BD17103G62650692;2005;;45033;PALIO;fiat
GDW6C30;;;;93HFC2640HZ123680;2017;;45032;CIVIC;honda
DON2D85;;;;9BWKA05Z754019051;2004;;45031;FOX;volkswagen
QOS7C57;;;;9BFZH54J3J8194953;2018;;45030;KA;ford
DVS7F72;;;;93W245G3382022172;2007;;45028;DUCATO;fiat
CTD9656;;;;9BFFF25L9YD037842;2000;;45027;F-250;ford
FDT7710;;;;9BSP4X200D3835710;2013;;45027;P;
BOR9D49;;;;9BMWF4AW9KM013875;2019;;45023;C180FF;mercedes-benz
FQQ3C41;;;;9BD119409E1115530;2014;;45021;DOBLO;fiat
EZK1A76;;;;9BFZF55A3C8268136;2011;;45020;FIESTA;ford
DIK6A85;;;;9BGTT69B02B177261;2002;;45019;ASTRA;chevrolet
QPP5G39;;;;9BFWEA7B9KBS47202;2018;;45018;CARGO;changan
QPP5G39;;;;9BFWEA7B9KBS47202;2018;;45018;CARGO;changan
DSW0468;;;;9BGRZ08907G162945;2006;;45016;CELTA;chevrolet
DSP1666;;;;9BD19240R63047671;2006;;45014;STILO;fiat
FPD0806;;;;*****80585;2016;;45013;NOVO PALIO;fiat
ETK2457;;;;3CZRE1830AG509244;2010;;45012;CR-V;honda
EYH5675;;;;9BWLB05U5CP183593;2012;;45010;SAVEIRO;volkswagen
DCV9630;;;;9BR53AEB215525972;2000;;45008;COROLLA;toyota
FWK2044;;;;935SLNFNUJB507255;2017;;45005;C3;citroën
EAA6J45;;;;9BWAA05W4AP054432;2009;;45002;GOL G3;volkswagen
SQZ8I15;;;;*****77428;2024;;44999;CCROSS;suzuki
QSZ0I04;;;;;;;44999;COROLLA;toyota
FPY2510;;;;9BHBG51CAGP576296;2016;;44998;HB20;hyundai
MBY5729;;;;9BWCA05X91P036428;2000;;44997;GOL;volkswagen
MFS3F36;;;;9BD17164G95345791;2008;;44991;PALIO;fiat
RUT9G98;;;;*****17823;2022;;44990;CRONOS;fiat
