NumeroDoPedido;ID_Cliente;ID_Vendedor;CreatedAt;Status;ID_Produto_ou_Codigo;Quantidade;ValorUnitario;ValorFrete;DescontoItem;Observacao;ID_FormaPagamento
150;43670;477;23/10/2025;PROPOSAL;751309;1;0,00;;;5591;493
151;43590;477;28/10/2025;PROPOSAL;751790;3;0,00;;;5622;493
152;43607;477;10/11/2025;PROPOSAL;751507;1;0,00;;;5719;493
152;43607;477;10/11/2025;PROPOSAL;751765;4;0,00;;;5719;493
153;43590;477;14/11/2025;PROPOSAL;751790;1;0,00;;;5731;493
154;43654;477;14/11/2025;PROPOSAL;751037;1;0,00;;;5739;515
155;43650;477;14/11/2025;PROPOSAL;751037;1;0,00;;;5756;514
155;43650;477;14/11/2025;PROPOSAL;751057;2;0,00;;;5756;514
156;43634;477;04/12/2025;PROPOSAL;751439;2;0,00;;;5869;493
156;43634;477;04/12/2025;PROPOSAL;751536;1;0,00;;;5869;493
156;43634;477;04/12/2025;PROPOSAL;751650;2;0,00;;;5869;493
157;43625;477;10/12/2025;PROPOSAL;751280;2;0,00;;;5946;500
157;43625;477;10/12/2025;PROPOSAL;751284;1;0,00;;;5946;500
157;43625;477;10/12/2025;PROPOSAL;751639;1;0,00;;;5946;500
158;43623;477;11/12/2025;PROPOSAL;751170;1;0,00;;;5983;493
159;43602;477;12/12/2025;PROPOSAL;751127;2;0,00;;;5989;493
159;43602;477;12/12/2025;PROPOSAL;751989;1;0,00;;;5989;493
160;43620;477;14/12/2025;PROPOSAL;751317;1;0,00;;;6014;514
161;43607;477;19/12/2025;PROPOSAL;751422;1;0,00;;;6074;493
162;43596;477;11/02/2026;PROPOSAL;751089;1;0,00;;;6278;493
162;43596;477;11/02/2026;PROPOSAL;751221;1;0,00;;;6278;493
163;43941;477;17/10/2023;PROPOSAL;751677;1;0,00;;;0001-1;493
164;43933;477;31/10/2023;PROPOSAL;751364;1;0,00;;;0001-4;514
164;43933;477;31/10/2023;PROPOSAL;751627;1;0,00;;;0001-4;514
164;43933;477;31/10/2023;PROPOSAL;751750;4;0,00;;;0001-4;514
165;43865;477;19/10/2023;PROPOSAL;751677;1;0,00;;;0002-1;493
166;43931;477;04/11/2023;PROPOSAL;751306;1;0,00;;;0002-4;513
166;43931;477;04/11/2023;PROPOSAL;751378;1;0,00;;;0002-4;513
167;43667;477;08/11/2023;PROPOSAL;751738;1;0,00;;;0002-5;514
168;43890;477;08/11/2023;PROPOSAL;751167;1;0,00;;;0002-W;493
168;43890;477;08/11/2023;PROPOSAL;751890;1;0,00;;;0002-W;493
168;43890;477;08/11/2023;PROPOSAL;752003;1;0,00;;;0002-W;493
169;43939;477;19/10/2023;PROPOSAL;751002;1;0,00;;;0003-1;514
170;43920;477;20/12/2023;PROPOSAL;751115;1;0,00;;;0003-4;493
170;43920;477;20/12/2023;PROPOSAL;751829;1;0,00;;;0003-4;493
171;43766;477;17/11/2023;PROPOSAL;751510;1;0,00;;;0003-W;493
171;43766;477;17/11/2023;PROPOSAL;751579;1;0,00;;;0003-W;493
171;43766;477;17/11/2023;PROPOSAL;751626;1;0,00;;;0003-W;493
172;43892;477;11/01/2024;PROPOSAL;751371;1;0,00;;;0004-4;514
172;43892;477;11/01/2024;PROPOSAL;751569;1;0,00;;;0004-4;514
172;43892;477;11/01/2024;PROPOSAL;751761;1;0,00;;;0004-4;514
173;43929;477;17/11/2023;PROPOSAL;751189;1;0,00;;;0004-W;493
173;43929;477;17/11/2023;PROPOSAL;751206;1;0,00;;;0004-W;493
173;43929;477;17/11/2023;PROPOSAL;751229;1;0,00;;;0004-W;493
174;43731;477;23/10/2023;PROPOSAL;751002;2;0,00;;;0005-1;493
175;43820;477;16/11/2024;PROPOSAL;751616;1;0,00;;;0005-4;500
176;43617;477;09/01/2024;PROPOSAL;751626;1;0,00;;;0005-5;493
177;43901;477;21/11/2023;PROPOSAL;751022;1;0,00;;;0005-W;493
177;43901;477;21/11/2023;PROPOSAL;751067;2;0,00;;;0005-W;493
177;43901;477;21/11/2023;PROPOSAL;751131;1;0,00;;;0005-W;493
178;43692;477;02/05/2024;PROPOSAL;751715;1;0,00;;;0006-5;514
179;43849;477;18/05/2024;PROPOSAL;751510;1;0,00;;;0007-5;493
179;43849;477;18/05/2024;PROPOSAL;751579;1;0,00;;;0007-5;493
179;43849;477;18/05/2024;PROPOSAL;751757;3;0,00;;;0007-5;493
180;43928;477;23/11/2023;PROPOSAL;751362;1;0,00;;;0007-W;493
180;43928;477;23/11/2023;PROPOSAL;751380;1;0,00;;;0007-W;493
180;43928;477;23/11/2023;PROPOSAL;752003;1;0,00;;;0007-W;493
181;43617;477;23/11/2023;PROPOSAL;751738;1;0,00;;;0008-W;493
182;43927;477;23/11/2023;PROPOSAL;751321;1;0,00;;;0009-W;493
182;43927;477;23/11/2023;PROPOSAL;751371;1;0,00;;;0009-W;493
183;43651;477;25/07/2024;PROPOSAL;751626;1;0,00;;;0010-5;493
184;43926;477;27/11/2023;PROPOSAL;750991;1;0,00;;;0010-W;514
